tsne_comp1,tsne_comp2
-10.240808,-5.9202476
-4.0327363,0.45920363
21.370428,1.2715536
5.63369,-2.6571825
-10.76968,-5.437696
20.583889,1.0031046
26.32723,2.1459923
24.535055,1.4863127
-7.327291,-4.503727
19.593004,1.2370638
26.72348,1.7306705
29.790628,1.9817466
17.024542,1.5316964
15.582433,1.1004082
13.810507,1.0529302
0.80773187,0.8948796
19.265106,-0.4607267
10.018091,-0.054083787
8.112994,1.3953803
26.552248,0.7217157
17.559,2.1522605
18.351372,2.6821098
12.464533,0.85262537
23.957355,1.9329897
23.637655,0.30242133
15.225192,3.3285806
-7.3997216,-4.8292756
17.894588,2.564868
23.41455,2.6671124
5.388265,3.3425438
27.435785,1.941576
18.559097,2.1752462
28.15936,2.2216363
23.340168,0.9815435
23.169998,2.3006365
21.325613,2.7459965
14.159763,2.8839853
21.327385,0.21545625
22.179884,3.2303653
-9.753099,8.799423
0.67298955,8.909173
-11.183906,4.8025994
-1.7156982,9.422563
-2.3277276,9.078301
-1.3781931,-8.6990795
3.580624,4.0005507
-7.0758443,3.5333395
-10.109291,7.9272556
-7.779465,-2.4414485
0.64296824,8.414926
-10.442799,5.6801896
-13.636698,6.986067
-12.543876,5.38757
-14.580842,0.3748954
-12.186081,6.5678205
-13.600342,5.368396
-7.451115,9.832428
-3.7826266,10.367861
-4.524973,8.525692
-11.700311,6.9434557
-0.8660638,6.1263328
-8.642234,-4.0221453
-8.528868,9.360322
-6.8531265,3.157944
-9.485007,9.023376
-14.726761,3.4593363
-12.642282,4.070543
3.6207843,6.673818
2.0698812,3.0815806
-4.628191,9.581394
0.47008154,6.39424
-2.2170818,9.997322
7.7380037,2.7953331
-0.81202334,6.801787
-1.4629153,6.4308243
-9.278119,6.0067716
-9.335338,6.7359776
-13.336668,7.617284
-3.0221093,9.214055
-3.9321043,8.068441
-6.783496,1.6036283
-3.254175,8.404943
-8.9718685,7.7895103
-7.171569,0.19332692
-8.885714,5.273473
-6.3674664,8.732139
-13.401189,8.878193
-11.878065,9.426436
3.2043827,4.446409
9.713442,-1.7360992
19.923052,-0.38487217
4.475104,0.1909907
-1.2850182,-7.827503
-9.384231,-3.9824226
15.18741,0.47774532
1.645777,-7.265748
10.139847,-1.3941573
2.5120847,-5.388149
4.144203,-6.1560197
17.64944,1.2996516
0.7653726,-6.8182406
10.385599,-2.3649192
8.794955,-2.2085955
11.632157,-0.09645481
-6.2281322,-4.38318
0.791405,-6.2497773
2.1213434,-6.4491954
10.610784,1.2018503
